,0,1
1821,Female characters,Carla Powell
1822,Female characters,Carla Tortelli
1823,Female characters,Carl Carlson's sister
1824,Female characters,Carmen
1825,Female characters,Carmen Electra (character)
1826,Female characters,Carmen Opera Singer
1827,Female characters,Carol Berrera
1828,Female characters,Caroline Quimby
1829,Female characters,Carrie
1830,Female characters,Cashier (American Princess)
2105,Main Characters,Patty Bouvier
2106,Main Characters,Selma Bouvier
2107,Main Characters,Kent Brockman
2108,Main Characters,Charles Montgomery Burns
2109,Main Characters,Carl Carlson
2110,Main Characters,Comic Book Guy
2111,Main Characters,Fat Tony
2112,Main Characters,Fit-Fat Tony
2113,Main Characters,Maude Flanders
2114,Main Characters,Ned Flanders
2115,Main Characters,"Jonathan Frink, Jr"
2116,Main Characters,Groundskeeper Willie
2117,Main Characters,Barney Gumble
2118,Main Characters,Julius Hibbert
2119,Main Characters,Homer Simpson
2120,Main Characters,Jimbo Jones
2121,Main Characters,Edna Krabappel
2122,Main Characters,Krusty the Clown
2123,Main Characters,Lenny Leonard
2124,Main Characters,Timothy Lovejoy Jr.
2125,Main Characters,Otto Mann
2126,Main Characters,"Martin Prince, Jr."
2127,Main Characters,Melvin Van Horne
2128,Main Characters,Apu Nahasapeemapetilon
2129,Main Characters,Nelson Muntz
2130,Main Characters,Joe Quimby
2131,Main Characters,Nick Riviera
2132,Main Characters,Santa's Little Helper
2133,Main Characters,Simpson family
2134,Main Characters,Abe Simpson II
2135,Main Characters,Bart Simpson
2136,Main Characters,Lisa Simpson
2137,Main Characters,Maggie Simpson
2138,Main Characters,Marge Simpson
2139,Main Characters,Seymour Skinner
2140,Main Characters,"Waylon Smithers, Jr."
2141,Main Characters,Snowball V
2142,Main Characters,Dolph Starbeam
2143,Main Characters,Moe Szyslak
2144,Main Characters,Robert Terwilliger
2145,Main Characters,Milhouse Van Houten
2146,Main Characters,Clancy Wiggum
2147,Main Characters,Kearney Zzyzwicz
2148,Major Characters,Patty Bouvier
2149,Major Characters,Selma Bouvier
2150,Major Characters,Kent Brockman
2151,Major Characters,Charles Montgomery Burns
2152,Major Characters,Russ Cargill
2153,Major Characters,Carl Carlson
2154,Major Characters,Comic Book Guy
2155,Major Characters,Eddie
2156,Major Characters,Fit-Fat Tony
2157,Major Characters,Maude Flanders
2158,Major Characters,Ned Flanders
2159,Major Characters,"Jonathan Frink, Jr"
2160,Major Characters,Groundskeeper Willie
2161,Major Characters,Barney Gumble
2162,Major Characters,Julius Hibbert
2163,Major Characters,Homer Simpson
2164,Major Characters,Itchy
2165,Major Characters,Jimbo Jones
2166,Major Characters,Kodos
2167,Major Characters,Edna Krabappel
2168,Major Characters,Krusty the Clown
2169,Major Characters,Lenny Leonard
2170,Major Characters,Lou
2171,Major Characters,Louie (mafia)
2172,Major Characters,Timothy Lovejoy Jr.
2174,Major Characters,Otto Mann
2175,Major Characters,"Martin Prince, Jr."
2176,Major Characters,Troy McClure
2177,Major Characters,Melvin Van Horne
2178,Major Characters,Apu Nahasapeemapetilon
